abstract,category
"We investigated the effect of performing a mental arithmetic task with two levels of difficulty on the regulation of centre of foot pressure (COP) displacements during bipedal quiet standing in young healthy individuals. There was also a control condition in which no concurrent task was required. A space-time-domain analysis showed decreased COP displacements, along the antero-posterior axis, when participants concurrently performed the most difficult mental arithmetic task. Frequency-domain and stabilogram-diffusion analyses further suggested these decreased COP displacements to be associated with an increased stiffness and a reduction of the exploratory behaviours in the short term, respectively.",Biology
"Tethered particle motion is an experimental technique to monitor conformational changes in single molecules of DNA in real time, by observing the position fluctuations of a micrometer-size particle attached to the DNA. This article reviews some recent work on theoretical problems inherent in the interpretation of TPM experiments, both in equilibrium and dynamical aspects.",Biology
"We introduce and analyze a waiting time model for the accumulation of genetic changes. The continuous time conjunctive Bayesian network is defined by a partially ordered set of mutations and by the rate of fixation of each mutation. The partial order encodes constraints on the order in which mutations can fixate in the population, shedding light on the mutational pathways underlying the evolutionary process. We study a censored version of the model and derive equations for an EM algorithm to perform maximum likelihood estimation of the model parameters. We also show how to select the maximum likelihood poset. The model is applied to genetic data from different cancers and from drug resistant HIV samples, indicating implications for diagnosis and treatment.",Biology
"Cooperation plays a key role in the evolution of complex systems. However, the level of cooperation extensively varies with the topology of agent networks in the widely used models of repeated games. Here we show that cooperation remains rather stable by applying the reinforcement learning strategy adoption rule, Q-learning on a variety of random, regular, small-word, scale-free and modular network models in repeated, multi-agent Prisoners Dilemma and Hawk-Dove games. Furthermore, we found that using the above model systems other long-term learning strategy adoption rules also promote cooperation, while introducing a low level of noise (as a model of innovation) to the strategy adoption rules makes the level of cooperation less dependent on the actual network topology. Our results demonstrate that long-term learning and random elements in the strategy adoption rules, when acting together, extend the range of network topologies enabling the development of cooperation at a wider range of costs and temptations. These results suggest that a balanced duo of learning and innovation may help to preserve cooperation during the re-organization of real-world networks, and may play a prominent role in the evolution of self-organizing, complex systems.",Biology
"Random networks with specified degree distributions have been proposed as realistic models of population structure, yet the problem of dynamically modeling SIR-type epidemics in random networks remains complex. I resolve this dilemma by showing how the SIR dynamics can be modeled with a system of three nonlinear ODE's. The method makes use of the probability generating function (PGF) formalism for representing the degree distribution of a random network and makes use of network-centric quantities such as the number of edges in a well-defined category rather than node-centric quantities such as the number of infecteds or susceptibles. The PGF provides a simple means of translating between network and node-centric variables and determining the epidemic incidence at any time. The theory also provides a simple means of tracking the evolution of the degree distribution among susceptibles or infecteds. The equations are used to demonstrate the dramatic effects that the degree distribution plays on the final size of an epidemic as well as the speed with which it spreads through the population. Power law degree distributions are observed to generate an almost immediate expansion phase yet have a smaller final size compared to homogeneous degree distributions such as the Poisson. The equations are compared to stochastic simulations, which show good agreement with the theory. Finally, the dynamic equations provide an alternative way of determining the epidemic threshold where large-scale epidemics are expected to occur, and below which epidemic behavior is limited to finite-sized outbreaks.",Biology
"Two simple mathematical models of electric neuro-stimulation are derived and discussed. It is found that the common injected-charge model is less realistic than a model, in which a latency period, which follows after a short electric pulse, plays a role as important as the electric pulse. A stimulation signal is proposed that takes advantage of these findings and calls for experimental testing.",Biology
"This paper has been withdrawn by the author(s), due to the requirement of the journal it currently submitted to",Biology
"We predict various detectable mechanical responses to the presence of local DNA defects which are defined as short DNA segments exhibiting mechanical properties obviously different from the 50 nm persistence length based semiflexible polymer model. The defects discussed are kinks and flexible hinges either permanently fixed on DNA or thermally excited. Their effects on extension shift, the effective persistence length, the end-to-end distance distribution, and the cyclization probability are computed using a transfer-matrix method. Our predictions will be useful in future experimental designs to study DNA nicks or mismatch base pairs, mechanics of specific DNA sequences, and specific DNA-protein interaction using magnetic tweezer, fluorescence resonance energy transfer or plasmon resonance technique, and the traditional biochemistry cyclization probability measurements.",Biology
"As the past decade barely dawned, a fundamentally novel view of cancer relating to signal transduction through intracellular hormones/growth factors and their subunits began to unfold. Further along, it gained additional substance with the advent of the interdisciplinary fields of particle biology and peptide strings which explain (onco)protein dynamics in spacetime, for instance insulin-driven sub- and trans-cellular carcinogenesis, by physical principles. Here, this new understanding is expanded to introduce the concept of ""oncoprotein metastasis"" preceding cancer cell spread and, thereby, a particular emphasis is placed on its potential role in the emergence of the pre-metastatic niche. Consistent with this perception, yet unlike currently advocated treatments that target cancer cells only, future antineoplastic strategies should aim to mimic natural tumor suppressors as well as involve both (morphologically) normal and malignant cells. If validated in human patients with advanced cancer disease, its otherwise frequently lethal course may be halted and reversed just in time.",Biology
"The diversity of virus populations within single infected hosts presents a major difficulty for the natural immune response as well as for vaccine design and antiviral drug therapy. Recently developed pyrophosphate based sequencing technologies (pyrosequencing) can be used for quantifying this diversity by ultra-deep sequencing of virus samples. We present computational methods for the analysis of such sequence data and apply these techniques to pyrosequencing data obtained from HIV populations within patients harboring drug resistant virus strains. Our main result is the estimation of the population structure of the sample from the pyrosequencing reads. This inference is based on a statistical approach to error correction, followed by a combinatorial algorithm for constructing a minimal set of haplotypes that explain the data. Using this set of explaining haplotypes, we apply a statistical model to infer the frequencies of the haplotypes in the population via an EM algorithm. We demonstrate that pyrosequencing reads allow for effective population reconstruction by extensive simulations and by comparison to 165 sequences obtained directly from clonal sequencing of four independent, diverse HIV populations. Thus, pyrosequencing can be used for cost-effective estimation of the structure of virus populations, promising new insights into viral evolutionary dynamics and disease control strategies.",Biology
